miRNA	d8	d10	d4	d12	d5	d17	d35	d11	d18	d22	d7	d14	d2	d16	d6	d27	d9	d20	d1	d19	d15	d13	d3	d21	d23	d39	d24	d40	d42	d25	d26	d28	d29	d30	d31	d32	d33	d34	m3	m5	m7	d36	d37	d38	d41	m13	d45	d47	d46	d48	m11	d43	m1	m17	m9	d44	m2	m15	m8	m10	m19	m6	m18	m27	m28	m21	m12	m16	m4	m36	m22	m14	m38	m32	m20	m29	m23	m26	m30	m35	m34	m31	m39	m37	m40	m33	m24	m25
hsa-miR-15a-3p	1	0	2	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	2	1	0	2	0	1	0	0	0	1	1	1	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-23a-5p	2	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	4	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-23a-3p	3061	2624	4748	2630	1839	5421	2729	2356	2595	2676	1742	2545	2919	1357	2436	2507	4260	3628	1736	2762	1324	3194	4283	3957	2321	2537	4354	2259	5492	5185	3969	2425	4709	3967	1721	3952	2786	3062	53	175	38	3108	3565	3844	5130	335	4046	1938	4059	3240	173	5198	52	185	288	5573	179	326	126	345	295	82	51	257	352	218	596	286	209	606	151	443	127	181	353	123	217	184	316	342	526	126	431	631	591	885	851	232
hsa-miR-21-5p	1514	990	2256	1196	1427	2058	885	861	1503	1352	1578	643	2016	720	1467	904	1720	2007	1788	1370	985	962	2202	1884	1569	1580	1635	1068	1078	2233	1726	1049	1217	1693	434	1358	975	978	143	271	156	1399	1029	1335	2897	311	1602	1715	2701	838	114	1401	86	147	245	1809	247	297	263	324	118	200	59	134	226	112	698	328	448	248	137	413	75	163	210	117	143	97	128	241	229	105	214	479	351	343	249	220
hsa-miR-21-3p	39	11	45	19	19	64	17	29	36	18	28	19	24	7	29	22	22	41	27	30	16	13	40	50	37	18	39	12	22	45	27	22	28	30	18	22	15	16	5	0	2	32	15	21	36	3	27	22	24	22	3	34	0	3	1	31	9	2	0	1	0	3	0	2	3	2	3	8	6	0	1	5	1	0	1	0	3	5	2	3	0	6	0	3	0	6	9	12
hsa-miR-3135b	746	261	1650	384	393	474	259	339	389	327	1013	402	849	258	729	320	451	408	296	306	576	193	830	357	887	523	317	183	537	492	624	428	438	687	1355	438	282	310	29	38	112	345	239	278	272	31	189	359	260	335	24	560	29	4	40	590	67	99	36	54	24	56	8	12	34	14	66	85	40	21	21	65	9	12	7	36	39	24	60	4	24	64	41	15	34	36	57	69
hsa-miR-4521	1080	584	388	385	714	1068	139	218	749	833	444	297	446	420	671	292	795	881	226	585	308	378	314	1468	1132	274	1384	684	641	1412	986	827	1187	944	396	1163	352	332	45	1525	5	487	419	747	1297	1856	2093	531	1390	2188	248	429	621	890	1451	724	1191	163	53	710	1025	707	509	646	2082	1521	1444	1452	78	1703	1722	701	620	1220	858	1375	2520	1227	3375	536	1687	1837	2773	153	2916	84	1488	879
hsa-miR-574-5p	1862	1943	2438	1860	1025	1683	1700	1473	1285	1402	1370	1833	1236	1885	1220	1457	3340	1660	590	1385	1636	1318	2251	1600	1055	1521	1921	1077	3081	1948	2384	1428	1879	2018	1088	1940	1308	1401	295	305	140	1806	1466	1938	2933	398	2279	1536	2279	2466	234	3857	133	369	569	3335	455	539	325	462	434	263	203	295	422	445	573	212	584	790	313	360	298	589	578	349	421	263	679	502	814	309	667	1102	1212	1556	1122	469
hsa-miR-574-3p	84	62	93	38	38	114	33	38	76	95	47	33	74	47	46	53	115	79	72	64	33	46	110	100	56	44	115	56	101	114	93	44	83	106	31	52	44	46	4	3	4	58	38	77	90	7	87	47	110	64	1	84	2	9	9	103	1	1	1	3	0	3	2	6	1	4	7	3	4	2	2	5	5	4	6	4	2	4	6	5	6	4	7	7	5	12	1	3
hsa-miR-103a-1-5p	4	6	15	9	5	4	4	5	8	7	5	9	11	1	3	2	5	8	9	6	5	0	5	5	2	13	16	3	7	6	9	8	9	3	4	11	14	5	2	0	0	10	7	6	6	3	7	4	6	6	4	10	4	0	0	8	7	4	2	8	3	4	0	6	0	3	5	10	2	1	1	7	1	0	1	1	2	0	2	2	7	0	7	5	5	5	4	2
hsa-miR-103a-3p	162	120	243	158	77	169	104	102	101	114	83	96	93	114	84	134	286	162	91	113	116	123	174	136	110	114	160	117	87	256	187	141	206	221	52	194	96	98	28	54	26	120	134	175	165	51	111	78	109	108	29	119	15	24	55	166	28	41	36	62	30	37	22	30	31	34	86	37	83	102	18	49	13	37	29	23	31	16	44	48	46	16	37	86	70	85	75	69
hsa-miR-107	834	567	1098	743	401	898	587	431	556	543	548	532	593	473	573	679	1227	802	348	584	447	492	915	688	512	638	978	628	643	1155	958	717	994	1082	426	1133	548	537	92	149	51	725	731	828	844	210	580	404	607	758	90	679	64	121	316	909	133	245	142	252	108	116	55	97	190	122	396	220	247	390	78	268	90	151	184	108	136	78	194	169	242	90	230	355	403	443	363	149
hsa-let-7g-5p	112	69	160	61	55	132	49	37	80	66	65	53	66	58	62	43	148	91	50	66	60	48	89	78	59	80	95	46	78	103	89	57	84	129	50	94	64	68	13	36	11	73	67	84	131	25	89	65	77	72	8	71	5	25	21	132	19	22	24	34	19	23	4	28	26	5	35	28	18	18	15	29	8	14	15	18	26	13	31	15	38	16	14	15	36	42	28	47
hsa-miR-100-5p	360	204	485	299	190	292	206	182	202	227	316	202	236	192	248	230	373	311	151	193	202	198	302	310	294	386	375	289	471	448	365	382	348	396	192	480	209	259	17	16	6	344	311	336	479	33	266	228	329	314	10	377	7	5	29	469	19	41	23	25	14	19	9	30	37	9	28	48	34	46	4	41	14	29	19	33	16	23	63	29	34	21	40	58	53	64	68	25
hsa-miR-181d-5p	74	66	79	85	45	67	70	50	34	51	42	76	69	53	50	84	150	93	17	39	45	75	65	51	32	56	70	78	52	162	121	84	152	121	19	85	69	76	1	5	4	115	79	110	96	2	71	26	49	62	0	91	1	6	1	62	9	1	4	0	6	5	0	0	6	2	11	0	10	15	1	4	2	1	11	0	2	1	5	3	4	1	1	8	1	1	4	0
hsa-miR-127-5p	13	7	13	8	4	6	2	5	6	7	1	5	12	0	10	12	9	8	4	11	5	2	12	11	12	5	22	8	8	7	2	3	5	4	0	3	5	7	0	0	0	6	3	3	16	0	7	10	18	9	0	7	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-127-3p	1042	609	1557	690	587	1532	839	740	910	939	637	670	807	423	713	652	1284	1045	517	1009	430	770	1292	1249	899	804	1480	676	1273	1390	922	729	1112	892	591	1130	662	759	0	0	0	779	1041	1011	1191	2	913	576	971	828	1	1163	0	0	0	1280	0	11	0	3	0	0	0	0	0	0	3	5	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	3	3	0
hsa-miR-320a-3p	1486	961	1776	1159	793	1398	953	833	911	897	1011	935	1111	840	857	1240	2280	1176	565	817	830	955	1372	1126	829	1007	1344	886	1201	2418	1657	1050	2042	1772	970	1584	1005	964	67	113	32	1157	1328	1282	1272	139	889	644	754	1113	92	1054	51	75	227	1394	101	214	98	196	83	92	28	65	163	81	299	115	204	205	44	140	55	106	114	97	64	76	158	120	205	87	177	206	205	358	408	148
hsa-miR-361-5p	152	86	162	109	74	199	93	50	90	116	70	82	91	50	73	103	152	142	61	105	54	92	124	179	70	70	167	91	122	236	131	70	171	183	71	184	83	112	8	9	7	115	150	140	118	30	106	65	100	89	12	115	5	27	40	122	24	43	16	45	16	16	3	18	14	11	39	28	18	40	8	51	8	15	23	15	19	7	25	30	40	11	34	49	43	59	48	17
hsa-miR-361-3p	12	15	18	16	13	26	22	10	22	27	6	14	27	12	6	10	46	21	20	14	22	13	13	25	20	8	17	14	15	32	12	4	26	20	4	13	12	9	18	13	8	30	17	24	19	10	22	14	26	19	8	15	10	3	26	18	10	6	6	18	7	21	1	11	14	15	14	8	23	7	13	17	5	10	6	9	3	5	14	13	45	11	13	20	31	31	8	35
hsa-miR-425-5p	1911	1772	2458	2097	1463	2067	1480	1210	1811	1451	1496	1316	1805	1756	1258	1237	3742	2103	1142	1816	1855	1504	2378	1682	1549	2011	1371	1538	2409	2125	1720	1493	1695	1842	1019	1807	1322	1457	880	1617	651	2248	1770	2047	2097	2028	1634	1165	1828	1549	1513	2095	721	1487	2887	2052	1641	2608	1404	2938	1465	1198	961	1407	2013	1807	4548	1384	3145	3149	1735	2133	586	967	2492	950	1639	832	1634	1728	2278	947	1905	2863	3062	3271	3636	1737
hsa-miR-425-3p	14	7	16	14	9	16	5	12	12	5	11	7	8	8	8	10	13	12	4	11	20	9	14	12	13	14	8	11	14	25	8	17	20	18	17	17	9	16	2	3	0	11	17	24	5	1	11	7	12	6	2	12	0	3	3	12	1	1	1	1	6	0	2	0	0	7	24	16	2	3	0	1	0	5	8	0	1	1	3	6	5	1	2	6	9	7	10	1
hsa-miR-2682-5p	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5585-3p	19	5	29	26	6	8	1	2	29	24	21	27	43	11	29	8	32	39	1	10	3	13	18	47	28	17	23	18	18	14	41	29	51	14	8	45	28	11	36	49	26	28	18	25	11	78	15	5	7	25	17	8	33	36	17	31	54	76	73	67	67	79	81	17	38	159	43	73	45	34	117	124	15	23	224	26	235	65	12	20	13	116	17	5	52	67	598	166
hsa-miR-181a-2-3p	1	7	1	1	0	4	0	2	2	0	1	1	2	4	1	1	0	0	0	2	0	0	3	2	4	3	6	0	1	1	1	5	6	2	1	1	3	2	0	1	0	2	1	3	1	1	3	3	0	5	1	2	2	0	0	3	3	2	0	5	0	7	0	0	2	0	7	1	2	0	0	1	1	0	1	6	0	0	0	0	1	1	3	2	0	3	0	1
hsa-miR-191-5p	939	813	1295	848	589	1455	711	743	910	886	512	767	723	603	697	550	1427	1164	354	879	436	907	979	1124	751	613	1285	797	2001	1024	848	655	929	805	395	1041	733	850	123	230	53	859	1004	988	1418	482	1189	577	1190	1035	196	1551	107	256	485	1721	242	447	202	554	255	147	141	245	429	211	1052	457	353	548	164	600	141	275	420	194	215	201	376	305	536	181	375	657	637	945	1063	414
hsa-miR-125a-5p	640	546	768	541	382	1041	485	374	632	626	306	445	582	463	373	441	1238	766	446	574	463	559	962	671	430	455	751	508	703	813	608	482	789	752	300	703	405	473	114	216	74	551	642	778	775	200	621	380	744	639	122	730	88	72	202	815	208	209	193	181	109	230	94	201	345	106	333	149	234	257	100	186	124	153	146	199	139	163	326	199	249	143	230	251	418	415	453	300
hsa-miR-125a-3p	33	10	27	24	12	37	8	30	16	9	18	17	18	15	21	14	41	34	11	24	13	8	29	15	11	15	18	28	28	46	32	19	35	42	7	24	27	39	0	1	0	47	37	32	20	7	28	19	29	23	2	21	0	1	5	38	3	3	4	3	0	2	1	5	0	7	14	5	4	7	1	8	1	1	8	1	6	0	4	15	1	9	10	9	4	13	25	2
hsa-let-7i-5p	340	243	419	224	181	366	182	163	252	260	160	200	256	253	195	225	493	334	147	270	249	217	387	369	162	272	358	201	307	459	415	267	394	440	122	422	209	179	202	356	124	284	260	261	427	229	273	173	263	286	98	329	186	190	258	361	377	219	259	315	150	285	114	122	284	158	413	182	444	264	112	247	59	200	205	179	177	120	266	214	231	185	248	358	354	407	411	305
hsa-let-7i-3p	1	2	4	4	2	2	1	0	1	5	0	2	2	0	2	0	0	2	0	1	0	3	2	2	4	5	2	3	0	6	8	0	3	6	1	6	1	0	0	5	0	1	2	0	0	1	0	0	0	0	0	0	2	0	0	6	2	3	0	3	0	0	0	0	0	1	0	2	0	0	1	2	1	0	2	0	4	0	0	2	1	0	0	8	1	5	2	2
hsa-miR-619-5p	127	38	137	89	27	30	15	9	77	52	78	60	134	71	97	25	37	100	23	32	37	27	66	101	81	96	57	57	4	43	112	140	151	32	34	173	67	35	211	166	158	85	28	56	31	193	11	4	28	62	77	12	88	124	51	34	188	227	263	241	219	282	221	80	138	356	105	292	268	118	298	465	28	48	504	106	679	274	35	63	108	331	23	43	130	122	1660	617
hsa-miR-30c-5p	371	414	351	329	325	535	258	261	372	295	281	307	392	368	274	263	1142	348	622	310	411	318	553	413	203	359	411	246	251	696	489	229	306	471	81	291	335	403	50	96	33	450	375	559	539	128	317	210	390	171	109	309	38	69	170	362	78	169	66	155	38	85	38	38	83	54	273	135	136	181	62	170	67	59	57	51	71	43	70	193	189	53	207	374	389	361	173	79
hsa-miR-4485-5p	11	0	12	19	1	9	13	4	15	8	21	3	3	4	6	14	2	4	5	9	6	2	18	5	11	23	4	9	7	10	10	17	17	14	12	23	6	3	5	16	54	14	2	3	5	11	0	9	12	14	4	4	5	3	12	4	9	19	18	14	11	9	5	9	20	12	13	77	14	13	14	22	7	8	4	15	13	7	11	16	17	17	21	13	20	23	23	40
hsa-miR-4485-3p	144	20	106	182	107	55	123	74	357	158	105	65	167	122	91	134	69	189	61	197	131	140	332	158	107	214	69	152	48	278	277	140	592	242	122	299	93	92	121	99	237	202	110	103	61	78	39	38	83	65	56	43	34	99	83	72	77	148	231	131	194	68	82	89	198	232	139	178	306	235	186	208	56	99	209	156	198	154	134	88	105	196	88	259	201	546	319	984
hsa-miR-423-5p	166	123	229	135	88	207	131	120	121	138	155	151	130	100	114	131	252	143	61	115	91	117	213	208	116	131	199	114	250	215	174	95	261	189	171	226	120	168	23	21	21	119	175	162	186	52	201	139	163	211	25	226	19	32	54	232	19	75	37	64	44	33	28	22	24	37	86	74	44	99	24	46	16	15	45	26	28	23	31	63	86	15	67	94	135	152	135	20
hsa-miR-423-3p	85	42	142	95	54	152	80	70	65	55	66	80	85	53	56	111	115	112	40	57	71	73	87	90	96	107	89	98	60	185	146	65	174	163	43	122	68	101	2	16	4	96	120	145	55	46	47	69	99	59	10	66	2	13	29	82	17	46	14	23	36	16	6	38	30	13	46	28	22	58	13	28	25	8	44	18	26	20	30	62	63	15	56	39	106	103	78	38
hsa-miR-27a-3p	567	520	742	640	356	768	491	538	443	486	379	405	440	405	335	429	963	562	343	452	391	581	624	623	503	631	678	471	539	1159	796	516	741	926	309	622	559	533	23	35	21	617	613	816	700	80	521	303	571	342	28	586	32	36	38	606	39	80	60	57	39	47	25	85	88	40	74	55	95	99	67	88	28	60	85	33	61	33	93	91	115	33	90	99	140	145	138	94
hsa-miR-27b-5p	43	85	39	57	32	55	55	55	31	38	28	57	45	38	26	44	140	47	16	32	51	75	41	35	35	46	34	48	47	123	61	48	87	86	32	75	66	58	5	3	3	57	85	71	53	7	50	33	33	62	1	54	0	1	1	64	0	0	1	0	4	0	1	0	1	3	6	1	1	14	2	0	0	1	3	1	1	2	2	3	3	2	3	4	14	17	5	9
hsa-miR-27b-3p	109	188	217	194	87	260	144	145	123	151	88	170	118	101	121	182	336	210	112	110	119	144	136	156	105	166	174	168	129	403	317	227	340	309	80	231	154	185	1	10	1	206	219	241	189	10	162	89	140	120	1	128	5	1	5	179	12	11	8	7	14	8	10	6	15	5	25	6	5	12	3	14	2	5	5	7	10	6	5	9	7	6	10	15	26	19	9	17
hsa-miR-24-2-5p	6	9	13	8	5	17	9	8	10	16	9	11	18	14	12	0	24	12	3	2	4	29	8	11	5	14	11	6	7	24	17	9	6	13	5	7	23	9	0	1	0	9	12	11	16	1	14	2	16	4	2	7	0	0	0	14	0	1	1	2	0	3	0	4	8	0	1	2	0	3	0	1	0	1	2	1	0	1	2	1	0	0	4	1	4	1	0	3
hsa-miR-24-3p	1137	1162	1718	1325	711	1700	1388	1137	995	1098	935	1235	909	830	847	1462	2329	1323	674	961	1015	1284	1435	1319	991	1557	1527	1420	1252	2710	2288	1466	2364	2531	925	1942	1325	1385	31	82	34	1767	1699	2004	1728	98	1379	1040	1513	1352	42	1664	21	44	93	1897	72	138	76	79	75	45	25	89	134	46	164	98	83	120	47	111	39	78	66	95	68	53	96	123	157	77	132	196	168	231	220	115
hsa-let-7f-5p	120	93	142	114	75	130	76	79	73	79	93	72	79	74	97	71	198	105	75	71	88	92	112	79	72	127	98	78	66	162	99	80	91	145	43	117	78	100	36	93	53	97	88	85	148	36	40	82	94	61	30	78	35	31	56	73	69	40	49	54	25	57	18	32	55	29	103	26	97	47	33	34	17	48	45	53	24	40	83	31	38	48	54	62	63	78	73	84
hsa-let-7f-1-3p	2	1	8	4	0	6	7	2	3	1	2	1	3	3	0	1	5	8	1	2	1	2	5	2	4	3	3	5	3	11	1	1	2	5	0	5	2	3	0	0	0	8	4	4	7	0	2	2	3	2	1	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	4	0	1	0	0	0	1	0	2	0	0	2	0	1	3	1
hsa-miR-221-5p	661	437	1269	562	386	1382	369	338	661	654	453	544	642	387	551	276	803	989	305	571	308	515	545	1039	948	591	1125	650	1844	594	577	523	614	581	374	832	467	554	34	96	12	598	729	783	2169	148	1039	617	1252	1185	92	980	40	117	175	2064	121	93	145	258	138	92	56	67	227	127	311	158	123	726	119	247	119	95	240	70	263	71	125	156	331	123	465	572	691	528	627	114
hsa-miR-221-3p	1112	461	1352	632	500	1526	466	413	866	1047	665	419	805	469	544	412	1104	1404	442	984	356	530	1115	1209	869	537	1626	559	896	709	574	530	536	583	323	936	470	504	11	32	12	698	599	666	868	80	916	612	1053	998	27	971	8	45	69	1515	17	70	23	81	45	8	14	20	40	17	125	101	33	100	29	68	52	30	49	17	26	18	40	65	108	20	72	176	134	175	173	37
hsa-miR-34a-5p	552	165	565	230	256	489	170	121	306	296	227	168	328	170	300	315	325	493	179	286	104	136	405	524	255	195	634	274	198	575	453	369	475	487	123	524	166	185	97	155	66	256	238	268	408	323	247	150	268	408	122	289	69	114	287	492	127	314	178	329	103	117	55	93	145	120	542	303	294	319	77	436	83	163	192	131	180	83	168	161	216	124	224	488	355	316	353	142
hsa-miR-34a-3p	3	1	3	4	1	6	1	4	2	4	4	1	6	4	2	2	1	5	1	1	2	0	4	3	1	2	6	1	0	5	9	3	4	2	1	2	4	1	4	0	3	6	2	2	5	7	0	0	0	3	0	4	0	0	7	2	0	4	2	1	0	0	2	0	4	0	7	8	3	3	0	1	0	3	0	5	4	2	7	2	4	4	2	4	3	2	2	10
hsa-miR-17-5p	522	355	740	426	210	613	328	289	390	416	264	335	374	395	303	261	794	717	212	403	247	320	532	546	364	359	773	385	551	400	405	285	367	330	99	477	266	280	80	161	35	441	379	427	717	217	541	318	568	539	119	506	60	97	274	873	122	190	120	360	98	130	45	57	179	81	529	153	335	227	78	259	38	153	158	71	89	81	197	98	126	59	139	335	255	270	322	192
hsa-miR-17-3p	4	0	0	2	0	3	2	2	0	2	4	2	0	2	0	2	3	0	11	0	1	1	0	0	0	2	0	1	0	3	2	3	7	2	1	2	3	1	2	3	2	2	5	1	0	0	0	0	0	0	1	1	1	0	1	0	2	10	0	0	1	3	0	5	4	0	2	4	4	3	3	0	0	2	5	0	1	1	2	0	1	0	0	2	0	4	0	3
hsa-miR-106a-5p	20	14	21	20	13	27	6	12	9	28	7	5	15	19	24	5	24	28	8	23	18	14	24	29	24	17	45	12	26	11	14	6	9	16	4	13	10	7	0	13	1	15	7	11	12	2	13	9	25	28	4	9	2	9	16	39	6	8	3	3	0	6	1	0	9	5	31	6	16	12	3	6	2	3	2	3	14	7	13	4	2	8	7	11	15	10	7	2
hsa-miR-106a-3p	1	1	0	0	0	0	0	1	0	1	0	3	0	0	1	0	0	1	0	2	0	0	1	0	1	2	0	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-193b-5p	2	0	2	0	0	0	0	0	3	0	2	0	6	4	1	2	0	0	0	0	0	1	0	0	5	0	3	0	2	1	4	1	2	0	2	0	1	2	0	0	0	1	0	0	3	1	2	0	0	1	0	4	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-193b-3p	243	62	220	80	111	141	76	52	102	113	158	56	163	78	120	105	99	108	134	81	54	55	164	119	124	109	172	85	118	239	124	97	120	112	114	145	64	89	2	0	1	91	58	84	135	3	83	105	110	76	1	111	0	0	2	116	3	6	1	2	9	2	1	4	5	1	8	6	2	13	1	3	3	2	3	4	5	1	6	9	7	5	5	5	13	16	16	10
hsa-miR-363-3p	210	67	280	117	81	200	90	106	138	137	153	98	149	80	140	83	149	219	105	122	68	98	222	119	177	119	254	92	237	125	113	80	98	118	78	119	55	91	6	9	7	105	101	126	199	28	200	144	228	159	9	245	2	3	14	371	3	30	22	25	3	8	2	4	32	5	42	31	4	22	2	20	9	6	16	12	10	18	43	10	30	10	35	23	53	56	19	19
hsa-miR-130b-3p	84	56	95	52	38	77	57	60	47	50	33	38	64	40	52	67	71	65	31	43	47	46	77	78	41	43	66	44	57	106	73	61	76	85	40	91	45	53	2	9	0	48	76	65	133	21	61	53	92	69	2	64	8	14	23	114	5	14	5	18	10	5	5	9	8	11	28	20	12	15	13	26	6	6	6	4	5	5	10	14	17	9	16	29	15	18	15	20
hsa-miR-23b-3p	1279	1935	2136	2079	929	2876	2008	1611	1671	1602	936	2035	1463	1099	1206	2193	3458	1893	953	1642	1088	2318	2126	2163	1167	1845	2185	1721	2296	4214	3234	1973	4231	3712	1408	3118	2086	2274	8	31	9	2314	2994	3136	2564	55	2297	1124	2292	1918	26	2486	10	29	57	2788	21	53	16	48	46	33	18	33	25	39	75	38	44	82	31	48	33	13	28	31	23	17	21	93	89	21	80	142	115	224	101	41
hsa-miR-181b-5p	1098	1163	1276	1111	696	1076	1007	862	634	614	569	950	780	879	704	927	2471	897	469	640	799	986	1169	829	557	769	1004	1019	963	1826	1211	844	1376	1305	399	1278	911	925	117	231	74	1355	1199	1407	1279	252	1116	503	957	942	119	1001	95	171	351	1324	203	363	237	327	173	177	109	92	212	189	563	202	397	442	95	304	88	153	266	158	129	65	165	234	353	119	215	645	461	612	513	145
