miRNA	DSC_27_23_EKB_20250506_1	DSC_27_23_EKB_20250506_2	DSC_28_23_EKB_20250502_1	DSC_28_23_EKB_20250502_2	DSC_29_23_EKB_20250502_1	DSC_29_23_EKB_20250502_2	DSC_30_23_EKB_20250506_1	DSC_30_23_EKB_20250506_2	DSC_31_23_EKB_20250506_1	DSC_31_23_EKB_20250506_2	DSC_32_23_EKB_20250507_1	DSC_32_23_EKB_20250507_2	Melanocytes_27_23_EKB_20250502_1	Melanocytes_27_23_EKB_20250502_2	Melanocytes_29_23_EKB_20250506_1	Melanocytes_29_23_EKB_20250506_2	Melanocytes_30_23_EKB_20250502_1	Melanocytes_30_23_EKB_20250502_2	Melanocytes_31_23_EKB_20250507_1	Melanocytes_31_23_EKB_20250507_2	Melanocytes_32_23_EKB_20250507_1	Melanocytes_32_23_EKB_20250507_2
hsa-miR-3145-3p	0	0	0	0	0	1	0	0	0	1	0	0	0	4	5	4	1	4	9	3	5	11
hsa-miR-6818-3p	1	0	5	0	0	0	2	2	1	1	0	1	0	0	0	0	0	0	2	1	0	0
hsa-miR-7107-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-449c-3p	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-7849-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-584-5p	292	387	821	710	1117	534	735	626	891	738	633	774	44	132	124	119	86	102	294	155	354	445
hsa-miR-579-5p	0	8	13	4	13	4	6	11	5	5	1	4	4	12	1	9	4	5	7	7	6	14
hsa-miR-5006-5p	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-590-3p	242	275	1300	724	1534	719	854	777	1526	1038	806	917	299	788	1415	1476	778	728	1601	809	2075	3341
hsa-miR-8068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
hsa-miR-215-3p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-29b-2-5p	10	15	39	31	48	28	37	22	41	21	31	36	1	5	2	7	5	6	29	1	20	11
hsa-miR-2681-5p	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-193b-5p	124	179	318	265	277	121	257	161	267	239	128	161	7	35	34	24	8	20	54	35	56	37
hsa-miR-335-3p	2	2	7	9	6	2	4	8	7	5	4	3	0	5	3	13	3	4	8	9	0	2
hsa-miR-4660	0	0	6	2	6	1	3	0	1	2	0	0	0	2	0	0	0	3	1	1	5	3
hsa-miR-4307	0	0	0	0	0	3	0	2	0	2	0	1	0	1	3	0	0	0	8	0	0	0
hsa-miR-616-5p	12	2	5	7	5	7	9	5	8	6	13	10	2	19	13	22	15	3	25	9	12	10
hsa-miR-513b-3p	6	8	16	4	26	12	29	26	44	34	15	23	10	13	7	21	9	18	52	19	33	28
hsa-miR-6511a-3p	3	6	1	2	1	2	1	1	9	1	3	1	9	4	5	10	1	0	17	5	8	9
hsa-miR-513a-3p	40	33	81	27	86	44	67	50	178	65	74	89	20	60	56	86	51	22	136	74	106	123
hsa-miR-6083	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-6506-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	1	0
hsa-miR-4700-5p	0	0	5	1	3	3	3	1	2	5	5	2	3	10	15	9	3	11	17	7	2	7
hsa-miR-1279	0	0	0	1	1	0	0	0	0	0	0	0	1	4	0	0	0	0	2	0	0	0
hsa-miR-382-3p	251	166	325	217	495	278	332	282	415	284	247	285	0	2	3	1	0	0	0	0	0	1
hsa-miR-101-5p	3	6	4	3	10	2	6	7	12	8	3	8	1	5	3	12	8	3	4	3	10	13
hsa-miR-4270	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	5	0	0	0
hsa-miR-2681-3p	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	1
hsa-miR-4661-3p	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4715-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
hsa-miR-671-3p	36	62	118	112	155	66	161	111	172	151	95	91	24	61	42	69	13	19	89	30	96	44
hsa-miR-4733-5p	0	0	1	0	0	0	0	1	0	2	2	3	0	1	0	1	0	0	0	0	0	0
hsa-miR-660-5p	876	1193	1841	1373	2912	1467	1644	1518	2461	2095	1497	1711	1017	2464	1684	1693	989	1001	2365	1212	2870	4055
hsa-miR-519d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-323a-5p	8	9	6	27	42	47	21	15	24	17	18	13	0	0	0	0	0	0	0	0	0	0
hsa-miR-4646-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1291	1	1	1	1	4	4	1	1	8	7	1	1	0	3	2	2	1	2	7	11	6	2
hsa-miR-6866-3p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-1236-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3909	15	10	26	26	55	19	28	21	47	49	13	55	9	20	32	14	14	38	26	18	47	63
hsa-miR-6829-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10393-5p	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-597-5p	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-5003-5p	0	0	6	5	2	0	2	0	2	3	0	2	0	0	0	0	0	1	1	0	0	0
hsa-miR-6837-3p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-892a	0	0	0	0	1	0	0	0	2	1	0	1	0	1	0	0	0	5	4	4	0	1
hsa-miR-4529-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-216a-5p	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4653-5p	1	0	1	0	3	2	0	1	0	1	3	2	4	1	2	0	0	1	0	0	0	0
hsa-miR-3074-3p	5	2	9	7	13	4	5	9	13	10	7	4	4	8	7	5	10	15	22	10	24	42
hsa-miR-6854-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-5194	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-18a-5p	433	529	2246	1606	2625	1322	1064	1064	2300	2150	1481	1819	1818	5024	2212	2364	1728	1548	3139	1843	4140	7056
hsa-miR-587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4524b-5p	10	2	2	1	0	6	1	11	15	6	14	8	0	6	11	10	2	2	15	3	7	2
hsa-miR-2115-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-103b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-549a-5p	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0
hsa-miR-302c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-6758-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ae-5p	3	7	12	3	21	14	9	13	33	37	7	36	1	11	18	17	8	6	13	10	28	19
hsa-miR-181d-5p	52	101	237	143	417	184	141	132	576	445	231	249	8	26	13	3	10	10	18	11	9	15
hsa-miR-579-3p	9	6	5	8	8	6	13	8	12	4	8	2	3	9	8	4	6	1	10	6	11	12
hsa-miR-1323	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	7	0	0	1
hsa-miR-6875-3p	0	1	3	0	2	0	0	0	0	2	0	0	0	3	1	0	0	0	2	0	3	0
hsa-miR-551b-5p	11	9	23	18	12	4	7	12	17	12	0	16	0	2	0	6	0	0	4	4	0	0
hsa-miR-1825	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4727-5p	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
hsa-miR-2115-5p	1	5	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0
hsa-miR-3617-3p	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4433b-5p	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-4292	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-7106-3p	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-204-5p	68	79	186	99	56	27	116	103	190	115	51	71	35	92	105	95	32	22	898	585	206	200
hsa-miR-4757-5p	0	0	2	0	0	0	1	0	1	0	1	2	0	0	0	0	1	3	0	0	3	1
hsa-miR-384	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1200	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-5699-3p	10	5	11	14	32	15	4	8	21	7	8	12	4	19	8	19	18	9	13	14	33	42
hsa-miR-362-5p	1453	2107	4902	4024	5332	3781	3965	3450	7184	6572	4316	5550	1934	4592	4006	5192	2991	4137	6852	3874	11182	12876
hsa-miR-581	1	2	0	0	3	0	0	2	0	0	0	3	2	2	1	0	1	0	0	1	4	1
hsa-miR-4668-3p	0	0	1	0	0	1	0	1	3	1	1	0	0	0	0	1	0	0	0	2	0	0
hsa-miR-500a-5p	228	312	529	465	755	537	541	450	957	815	496	635	306	766	507	676	341	450	1499	764	1746	1691
hsa-miR-508-3p	945	1346	2215	1498	5293	2473	3777	3190	4450	4675	2961	3650	1557	3453	3804	3586	1404	1684	4734	3018	5794	5767
hsa-miR-100-3p	173	220	1092	588	779	491	388	401	513	527	284	611	6	69	45	49	35	15	67	20	51	73
hsa-miR-135a-3p	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	1	0	0	0	0
hsa-miR-3688-3p	0	1	2	8	0	0	2	1	2	7	3	1	1	5	1	6	1	0	2	2	3	9
hsa-miR-4489	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
hsa-miR-4773	0	1	3	0	3	2	1	3	11	5	1	5	0	1	0	4	6	3	2	0	7	5
hsa-miR-4435	1	0	0	0	0	0	0	1	1	0	0	0	0	10	1	1	0	2	3	6	5	2
hsa-miR-1269b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
hsa-miR-4471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1587	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4463	1	0	0	0	4	0	0	0	0	0	1	1	2	7	0	1	0	0	0	7	0	1
hsa-miR-4525	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	4	5	3	5
hsa-miR-548f-3p	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	2	2	0	0	0
hsa-miR-3917	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-6513-5p	3	4	11	5	13	1	8	10	17	9	2	7	0	1	3	5	0	1	4	1	4	3
hsa-miR-4259	2	1	0	0	1	1	0	4	0	2	3	2	0	0	2	0	0	0	1	0	0	0
hsa-miR-760	2	0	5	0	2	0	0	0	0	1	1	0	1	7	1	1	1	2	2	0	1	0
hsa-miR-10398-5p	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302e	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
hsa-miR-5583-3p	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	1	2	0	3	0	0	0
hsa-miR-193a-5p	355	598	1540	1339	1466	720	1246	983	1482	1610	797	913	206	307	337	307	151	196	422	276	823	462
hsa-miR-629-5p	62	107	306	197	287	173	269	218	388	337	201	224	45	98	93	75	71	77	74	47	255	221
hsa-miR-3662	0	0	1	0	0	2	0	0	0	0	0	0	2	3	3	0	0	1	9	3	16	3
hsa-miR-548aw	1	9	3	6	2	4	1	4	20	1	4	6	0	0	2	0	1	0	2	0	1	1
hsa-miR-654-5p	53	67	113	104	207	134	149	134	134	182	83	143	0	0	1	0	0	0	0	0	0	0
hsa-miR-6509-5p	0	0	3	0	5	1	2	0	0	1	1	0	1	3	1	2	5	2	2	1	6	1
hsa-miR-3671	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4796-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
hsa-miR-632	0	2	3	0	6	0	0	1	0	3	0	2	0	2	0	0	0	2	2	0	3	2
hsa-miR-4742-3p	1	0	0	0	0	1	4	2	0	1	0	0	0	0	0	1	0	0	7	1	4	0
hsa-miR-6780b-5p	0	0	0	2	3	2	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	1
hsa-miR-219a-2-3p	4	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0
hsa-miR-4322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-218-5p	15	21	111	79	45	27	69	62	167	119	36	73	7	13	11	14	3	11	31	17	11	32
hsa-miR-1293	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-613	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6505-5p	2	2	6	5	0	1	4	0	7	5	1	2	1	1	6	3	4	4	7	9	16	11
hsa-miR-4638-3p	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-3978	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	1	0	1	1	0	0	0
hsa-miR-3666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
hsa-miR-3149	0	0	1	1	3	0	4	2	3	3	3	2	2	1	0	1	0	1	6	4	0	5
hsa-miR-571	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	17	4	0	0
hsa-miR-3663-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-450b-3p	3	12	22	7	19	9	18	25	18	8	5	7	0	2	0	0	0	0	6	4	0	3
hsa-miR-889-5p	1	3	1	5	8	3	1	4	3	4	5	6	0	1	0	1	0	0	0	0	0	0
hsa-miR-557	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-4446-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-133a-5p	1	1	0	1	0	1	0	0	1	4	0	1	0	0	0	0	2	0	0	0	0	0
hsa-miR-9851-3p	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5589-3p	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-503-5p	994	1380	3782	3225	3096	1918	3238	2759	1913	2022	1227	1627	289	652	506	417	335	341	940	537	845	845
hsa-miR-5588-5p	0	0	1	0	0	0	1	0	8	1	1	2	2	0	2	0	0	0	4	2	0	0
hsa-miR-5087	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
hsa-miR-5589-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3	1	0	3	1	0	0
hsa-miR-6829-5p	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6846-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-943	2	2	0	3	0	0	1	0	0	3	0	0	1	2	0	0	0	0	1	1	2	2
hsa-miR-5579-3p	0	0	1	0	0	0	0	1	2	1	0	0	0	0	5	1	0	0	8	0	1	0
hsa-miR-5706	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	1	1	3	0	0	0
hsa-miR-432-3p	13	11	27	12	16	18	15	20	21	22	14	21	0	0	0	0	0	0	0	0	0	0
hsa-miR-647	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6815-3p	3	1	0	0	5	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4701-5p	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6721-5p	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-331-3p	198	148	228	152	434	238	268	200	609	296	209	235	58	90	110	136	52	68	200	135	272	135
hsa-miR-6842-3p	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-2277-5p	8	10	16	18	22	15	16	7	22	15	15	11	6	7	12	6	6	1	19	10	20	37
hsa-miR-12126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-3191-3p	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	3	0	2	0
hsa-miR-4664-5p	1	1	1	2	1	0	2	2	2	0	2	2	0	0	0	0	0	0	2	0	0	2
hsa-miR-190b-5p	3	6	18	12	31	10	28	13	30	27	16	14	15	47	11	12	14	18	56	14	44	66
hsa-miR-379-5p	487	569	1226	629	1391	623	1204	938	1343	1129	645	767	0	0	5	6	0	1	2	0	1	0
hsa-miR-4774-5p	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	6	0	2	0
hsa-miR-203b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-656-5p	8	23	21	29	41	20	22	21	20	15	15	24	0	0	0	0	0	0	0	0	0	0
hsa-miR-4778-5p	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0
hsa-miR-194-5p	96	129	344	289	335	201	217	204	477	468	243	324	532	1159	335	391	187	204	641	295	528	669
hsa-miR-135b-3p	12	11	16	15	8	10	19	11	6	8	9	4	0	0	0	0	0	0	1	0	0	0
hsa-miR-142-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	3	1	0	0	1
hsa-miR-3674	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	1	0	3	0
hsa-miR-7110-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	4	2	0	0	0
hsa-miR-7978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-10395-3p	27	14	19	19	26	16	13	17	14	30	25	16	5	10	16	7	0	8	28	15	3	7
hsa-miR-203b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	4	0	0
hsa-miR-4732-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4659b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
hsa-miR-146a-3p	3	2	11	3	24	7	8	2	21	7	10	19	10	35	44	56	30	7	89	18	126	34
hsa-miR-6503-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
hsa-miR-636	3	5	1	2	2	5	3	1	1	5	3	6	0	2	6	5	2	0	9	6	11	1
hsa-miR-4677-5p	3	3	2	1	2	2	2	2	7	2	3	2	0	0	5	5	8	2	6	0	4	4
hsa-miR-4686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
hsa-miR-1911-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3177-5p	1	3	1	0	3	1	1	0	0	1	3	2	0	1	1	0	3	2	7	2	1	7
hsa-miR-5010-3p	19	9	15	19	40	29	34	24	47	65	34	35	8	46	43	35	13	27	50	29	82	74
hsa-miR-496	159	142	374	195	454	303	299	269	342	246	248	287	0	0	0	2	0	0	1	0	0	0
hsa-miR-8088	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3152-3p	7	12	6	7	9	5	2	1	9	8	3	6	0	0	1	3	0	2	0	0	3	0
hsa-miR-1178-3p	0	1	0	0	0	2	0	0	3	1	0	1	0	1	0	0	0	0	5	0	1	0
hsa-miR-4474-3p	0	0	2	0	0	0	0	1	0	0	1	0	0	3	0	1	0	0	0	2	8	4
hsa-miR-548am-5p	30	30	45	54	71	39	51	48	73	68	40	62	43	120	151	113	140	130	126	60	158	303
hsa-miR-208a-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-1179	10	10	25	23	25	15	39	20	25	16	11	20	1	6	7	8	2	5	26	9	10	4
hsa-miR-548ak	14	2	7	5	9	4	7	6	10	1	2	9	2	18	0	6	0	3	10	3	3	4
hsa-miR-498-3p	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1
hsa-miR-497-3p	0	0	1	1	0	1	0	1	4	2	1	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-3133	1	0	1	0	2	0	1	1	1	4	0	1	3	4	3	12	1	1	4	7	9	8
hsa-miR-548ao-3p	0	0	1	0	0	0	5	0	1	0	0	2	0	3	0	2	0	0	4	0	0	2
hsa-miR-4662a-3p	0	0	0	0	0	7	1	0	2	1	2	3	0	1	1	3	0	0	4	0	0	0
hsa-miR-3617-5p	0	0	0	0	0	0	6	6	3	5	1	0	0	0	0	0	1	0	1	1	3	0
hsa-miR-548u	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-548az-3p	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-512-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-3163	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	2	1	6	0	3	1
hsa-miR-144-3p	0	1	0	0	2	1	2	3	12	5	2	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-548t-5p	0	0	0	0	0	2	0	2	1	1	0	1	0	0	0	1	1	1	2	0	1	0
hsa-miR-5681a	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	3
hsa-miR-559	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	2	2	0	0	0
hsa-miR-3121-3p	2	0	2	0	3	0	2	4	0	0	1	0	2	0	4	0	1	1	4	0	0	1
hsa-miR-5582-3p	2	0	7	6	9	2	10	4	4	5	2	1	4	8	4	10	3	0	2	8	6	16
hsa-miR-548au-5p	5	8	5	3	16	12	8	7	7	8	7	8	5	13	26	11	13	5	5	3	29	25
hsa-miR-105-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-4766-3p	0	0	1	1	3	0	2	3	5	1	1	1	2	0	2	1	0	4	7	3	4	6
hsa-miR-3166	3	0	1	0	1	1	0	0	1	0	0	0	0	0	0	4	0	0	1	0	2	0
hsa-miR-569	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0
hsa-miR-4680-3p	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	3	5	1	0	0
hsa-miR-522-3p	4	2	2	9	26	8	10	9	3	1	5	8	0	0	0	0	0	2	1	0	0	1
hsa-miR-200a-3p	35	21	102	60	62	47	73	45	77	79	54	80	0	8	3	3	0	1	6	7	1	3
hsa-miR-497-5p	174	278	502	412	1062	671	695	596	910	996	649	916	62	129	288	312	58	72	101	65	135	204
hsa-miR-410-3p	149	84	162	105	289	184	165	161	370	155	145	188	0	0	4	1	0	0	0	0	0	4
hsa-miR-411-3p	471	386	859	638	606	278	927	633	795	542	225	295	0	0	0	0	0	0	0	0	0	0
hsa-miR-222-5p	768	626	2199	1046	1074	624	1261	1236	765	586	383	616	87	291	71	101	89	78	219	73	149	119
hsa-miR-548ap-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-676-5p	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1
hsa-miR-3150a-5p	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	3	1	1	8
hsa-let-7c-3p	9	3	38	43	19	21	27	20	11	20	22	10	0	0	4	8	2	1	3	4	0	0
hsa-miR-548ar-3p	1	0	0	1	0	1	3	1	4	0	1	2	0	2	2	2	0	0	2	2	5	5
hsa-miR-5195-5p	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-3664-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3148	0	0	1	1	3	0	0	0	2	1	0	0	4	8	3	3	1	0	6	4	5	1
hsa-miR-3658	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0
hsa-miR-548ac	2	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	3	0	0	9
hsa-miR-1537-3p	3	2	4	6	4	4	8	5	19	17	3	5	15	24	17	20	14	11	39	22	38	61
hsa-miR-4282	0	0	0	0	1	0	0	1	0	0	0	0	2	3	1	0	0	4	5	0	0	0
hsa-miR-202-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0
hsa-miR-298	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0
hsa-miR-451a	3	6	2	4	8	13	7	0	29	11	9	9	1	1	0	1	0	2	1	1	2	1
hsa-miR-618	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-320e	4	4	5	0	4	1	5	2	13	15	3	7	3	2	0	1	0	0	1	2	2	0
hsa-miR-3153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4509	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	3	2	0	0	0
hsa-miR-6507-5p	0	0	0	0	0	0	1	0	0	0	0	1	1	4	3	7	0	0	0	0	25	12
hsa-miR-548ad-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0
hsa-miR-6768-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
